"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0034084"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Riemerella"	"NA"	"kai__0034084"
"kai__0035838"	"Acidobacteria"	"Holophagae"	"Holophagales"	"Holophagaceae"	"Holophaga"	"NA"	"kai__0035838"
"kai__0049894"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Acetomicrobium"	"NA"	"kai__0049894"
"kai__0053460"	"Actinobacteria"	"Actinobacteria"	"Nakamurellales"	"Nakamurellaceae"	"Nakamurella"	"NA"	"kai__0053460"
"kai__0106633"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Ectothiorhodospiraceae"	"Thioalkalivibrio"	"NA"	"kai__0106633"
"kai__0265488"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Rhodopirellula"	"NA"	"kai__0265488"
"kai__0281915"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Curvibacter"	"NA"	"kai__0281915"
"kai__0293088"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Aurantimonadaceae"	"Martelella"	"NA"	"kai__0293088"
"kai__0307628"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Petrimonas"	"NA"	"kai__0307628"
"kai__0351094"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Paucisalibacillus"	"NA"	"kai__0351094"
"kai__0393029"	"Chrysiogenetes"	"Chrysiogenetes"	"Chrysiogenales"	"Chrysiogenaceae"	"Desulfurispirillum"	"NA"	"kai__0393029"
"kai__0482460"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Sediminibacillus"	"NA"	"kai__0482460"
"kai__0633405"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Lacticigenium"	"NA"	"kai__0633405"
"kai__1193324"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinilabiliaceae"	"Alkalitalea"	"NA"	"kai__1193324"
"kai__1495038"	"Thermotogae"	"Thermotogae"	"Mesoaciditogales"	"Mesoaciditogaceae"	"Mesoaciditoga"	"NA"	"kai__1495038"
"kai__1582879"	"Firmicutes"	"Tissierellia"	"NA"	"NA"	"Ezakiella"	"NA"	"kai__1582879"
"kai__1676651"	"Firmicutes"	"Limnochordia"	"Limnochordales"	"Limnochordaceae"	"Limnochorda"	"NA"	"kai__1676651"
"kai__1677050"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Novibacillus"	"NA"	"kai__1677050"
"kai__0000357"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Agrobacterium"	"NA"	"kai__0000357"
"kai__0065551"	"Deinococcus-Thermus"	"Deinococci"	"Thermales"	"Thermaceae"	"Meiothermus"	"NA"	"kai__0065551"
"kai__0076831"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Myroides"	"NA"	"kai__0076831"
"kai__0178440"	"Verrucomicrobia"	"Opitutae"	"Opitutales"	"Opitutaceae"	"Opitutus"	"NA"	"kai__0178440"
"kai__0192987"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Allofustis"	"NA"	"kai__0192987"
"kai__0261933"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylocystaceae"	"Pleomorphomonas"	"NA"	"kai__0261933"
"kai__0312278"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Emticicia"	"NA"	"kai__0312278"
"kai__0331971"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Thalassobacillus"	"NA"	"kai__0331971"
"kai__0361177"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"Altererythrobacter"	"NA"	"kai__0361177"
"kai__0768669"	"Chloroflexi"	"Ktedonobacteria"	"Thermogemmatisporales"	"Thermogemmatisporaceae"	"Thermogemmatispora"	"NA"	"kai__0768669"
"kai__1434045"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Sinomicrobium"	"NA"	"kai__1434045"
"kai__1609627"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Hydrogenibacillus"	"NA"	"kai__1609627"
"kai__0000629"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Yersinia"	"NA"	"kai__0000629"
"kai__0001056"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Thiocapsa"	"NA"	"kai__0001056"
"kai__0002289"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacter"	"NA"	"kai__0002289"
"kai__0032012"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Thiomonas"	"NA"	"kai__0032012"
"kai__0032636"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halanaerobiaceae"	"Halothermothrix"	"NA"	"kai__0032636"
"kai__0041275"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"NA"	"kai__0041275"
"kai__0227388"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermodesulfobiaceae"	"Thermodesulfobium"	"NA"	"kai__0227388"
"kai__0228398"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptacidiphilus"	"NA"	"kai__0228398"
"kai__0290180"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Flammeovirgaceae"	"Roseivirga"	"NA"	"kai__0290180"
"kai__0437506"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Hyphomonadaceae"	"Robiginitomaculum"	"NA"	"kai__0437506"
"kai__0475960"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Bellilinea"	"NA"	"kai__0475960"
"kai__1005722"	"Cyanobacteria"	"NA"	"Synechococcales"	"Leptolyngbyaceae"	"Phormidesmis"	"NA"	"kai__1005722"
"kai__1236218"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Melghirimyces"	"NA"	"kai__1236218"
"kai__0000780"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiaceae"	"Rickettsia"	"NA"	"kai__0000780"
"kai__0002063"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Kitasatospora"	"NA"	"kai__0002063"
"kai__0035798"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Nitrosomonadaceae"	"Nitrosospira"	"NA"	"kai__0035798"
"kai__0045989"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanoculleus"	"NA"	"kai__0045989"
"kai__0142841"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halobacteroidaceae"	"Selenihalanaerobacter"	"NA"	"kai__0142841"
"kai__0196081"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Scardovia"	"NA"	"kai__0196081"
"kai__0241192"	"Thermodesulfobacteria"	"Thermodesulfobacteria"	"Thermodesulfobacteriales"	"Thermodesulfobacteriaceae"	"Thermodesulfatator"	"NA"	"kai__0241192"
"kai__0254250"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Promicromonosporaceae"	"Isoptericola"	"NA"	"kai__0254250"
"kai__0292480"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Atopostipes"	"NA"	"kai__0292480"
"kai__0651456"	"Thermotogae"	"Thermotogae"	"Kosmotogales"	"Kosmotogaceae"	"Kosmotoga"	"NA"	"kai__0651456"
"kai__0700450"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Siphonobacter"	"NA"	"kai__0700450"
"kai__1270155"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Falsibacillus"	"NA"	"kai__1270155"
"kai__1379908"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Hymenobacteraceae"	"Rufibacter"	"NA"	"kai__1379908"
"kai__1940395"	"Firmicutes"	"Bacilli"	"Bacillales"	"Sporolactobacillaceae"	"Caenibacillus"	"NA"	"kai__1940395"
"kai__2024958"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Alkalispirochaeta"	"NA"	"kai__2024958"
"kai__2034765"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Massilibacteroides"	"NA"	"kai__2034765"
"kai__0000933"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Thiomicrospira"	"NA"	"kai__0000933"
"kai__0028105"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Sinorhizobium"	"NA"	"kai__0028105"
"kai__0073918"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales Family XVII. Incertae Sedis"	"Thermaerobacter"	"NA"	"kai__0073918"
"kai__0332102"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Crocinitomicaceae"	"Fluviicola"	"NA"	"kai__0332102"
"kai__0545865"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Calditerrivibrio"	"NA"	"kai__0545865"
"kai__0941338"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Bhargavaea"	"NA"	"kai__0941338"
"kai__1434702"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Taibaiella"	"NA"	"kai__1434702"
"kai__1648500"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Brockia"	"NA"	"kai__1648500"
"kai__1824856"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Oceanivirga"	"NA"	"kai__1824856"
"kai__1912771"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Halodesulfovibrio"	"NA"	"kai__1912771"
"kai__1924101"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Numidum"	"NA"	"kai__1924101"
"kai__0000064"	"Chloroflexi"	"Chloroflexia"	"Herpetosiphonales"	"Herpetosiphonaceae"	"Herpetosiphon"	"NA"	"kai__0000064"
"kai__0000499"	"Chloroflexi"	"Thermomicrobia"	"Thermomicrobiales"	"Thermomicrobiaceae"	"Thermomicrobium"	"NA"	"kai__0000499"
"kai__0000773"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bartonellaceae"	"Bartonella"	"NA"	"kai__0000773"
"kai__0000936"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Thiovulum"	"NA"	"kai__0000936"
"kai__0001125"	"Cyanobacteria"	"NA"	"Chroococcales"	"Microcystaceae"	"Microcystis"	"NA"	"kai__0001125"
"kai__0002263"	"Euryarchaeota"	"Thermococci"	"Thermococcales"	"Thermococcaceae"	"Thermococcus"	"NA"	"kai__0002263"
"kai__0012916"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	"NA"	"kai__0012916"
"kai__0028253"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	"NA"	"kai__0028253"
"kai__0033981"	"Actinobacteria"	"Actinobacteria"	"Kineosporiales"	"Kineosporiaceae"	"Kineococcus"	"NA"	"kai__0033981"
"kai__0081466"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Aminobacterium"	"NA"	"kai__0081466"
"kai__0135575"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Idiomarinaceae"	"Idiomarina"	"NA"	"kai__0135575"
"kai__0198251"	"Proteobacteria"	"Alphaproteobacteria"	"Pelagibacterales"	"Pelagibacteraceae"	"Candidatus Pelagibacter"	"NA"	"kai__0198251"
"kai__0269773"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Atopococcus"	"NA"	"kai__0269773"
"kai__0314318"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	"Prolixibacter"	"NA"	"kai__0314318"
"kai__0866673"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinifilaceae"	"Marinifilum"	"NA"	"kai__0866673"
"kai__1004301"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Flavihumibacter"	"NA"	"kai__1004301"
"kai__1505768"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Candidatus Schmidhempelia"	"NA"	"kai__1505768"
"kai__1926651"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	"Culturomica"	"NA"	"kai__1926651"
"kai__1960084"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Rodentibacter"	"NA"	"kai__1960084"
"kai__0000032"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Myxococcaceae"	"Myxococcus"	"NA"	"kai__0000032"
"kai__0000441"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Gluconobacter"	"NA"	"kai__0000441"
"kai__0000497"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"NA"	"kai__0000497"
"kai__0013134"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Magnetospirillum"	"NA"	"kai__0013134"
"kai__0039643"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Polyangiaceae"	"Sorangium"	"NA"	"kai__0039643"
"kai__0048075"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinobacterium"	"NA"	"kai__0048075"
"kai__0063132"	"Cyanobacteria"	"NA"	"Oscillatoriales"	"Coleofasciculaceae"	"Geitlerinema"	"NA"	"kai__0063132"
"kai__0091914"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Asaia"	"NA"	"kai__0091914"
"kai__0109169"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfofaba"	"NA"	"kai__0109169"
"kai__0119977"	"Proteobacteria"	"Acidithiobacillia"	"Acidithiobacillales"	"Acidithiobacillaceae"	"Acidithiobacillus"	"NA"	"kai__0119977"
"kai__0160795"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Ureibacillus"	"NA"	"kai__0160795"
"kai__0213223"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Geobacteraceae"	"Geothermobacter"	"NA"	"kai__0213223"
"kai__0252356"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Maribacter"	"NA"	"kai__0252356"
"kai__0292486"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Avibacterium"	"NA"	"kai__0292486"
"kai__0338321"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Turneriella"	"NA"	"kai__0338321"
"kai__0466152"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Isosphaeraceae"	"Singulisphaera"	"NA"	"kai__0466152"
"kai__0648800"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Solibacillus"	"NA"	"kai__0648800"
"kai__0767528"	"Firmicutes"	"Bacilli"	"Bacillales"	"NA"	"Geomicrobium"	"NA"	"kai__0767528"
"kai__1511648"	"Thermotogae"	"Thermotogae"	"Petrotogales"	"Petrotogaceae"	"Defluviitoga"	"NA"	"kai__1511648"
"kai__1649501"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	"Tangfeifania"	"NA"	"kai__1649501"
"kai__1652133"	"Proteobacteria"	"Oligoflexia"	"Bacteriovoracales"	"Halobacteriovoraceae"	"Halobacteriovorax"	"NA"	"kai__1652133"
"kai__1676125"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Thermogutta"	"NA"	"kai__1676125"
"kai__0000222"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	"NA"	"kai__0000222"
"kai__0001651"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Alloiococcus"	"NA"	"kai__0001651"
"kai__0002184"	"Euryarchaeota"	"Methanococci"	"Methanococcales"	"Methanococcaceae"	"Methanococcus"	"NA"	"kai__0002184"
"kai__0002202"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanospirillaceae"	"Methanospirillum"	"NA"	"kai__0002202"
"kai__0002420"	"Thermotogae"	"Thermotogae"	"Thermotogales"	"Fervidobacteriaceae"	"Thermosipho"	"NA"	"kai__0002420"
"kai__0028222"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfobacula"	"NA"	"kai__0028222"
"kai__0038501"	"Actinobacteria"	"Actinobacteria"	"Geodermatophilales"	"Geodermatophilaceae"	"Blastococcus"	"NA"	"kai__0038501"
"kai__0044013"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"	"NA"	"kai__0044013"
"kai__0046123"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Abiotrophia"	"NA"	"kai__0046123"
"kai__0067575"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Rheinheimera"	"NA"	"kai__0067575"
"kai__0081463"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Sporomusaceae"	"Anaeromusa"	"NA"	"kai__0081463"
"kai__0085413"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"Bosea"	"NA"	"kai__0085413"
"kai__0156993"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Flammeovirgaceae"	"Reichenbachiella"	"NA"	"kai__0156993"
"kai__0186650"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Microvirga"	"NA"	"kai__0186650"
"kai__0290174"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aquimarina"	"NA"	"kai__0290174"
"kai__0390846"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cyclobacteriaceae"	"Echinicola"	"NA"	"kai__0390846"
"kai__0392825"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Halalkalibacillus"	"NA"	"kai__0392825"
"kai__0485576"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Aquisalibacillus"	"NA"	"kai__0485576"
"kai__0649462"	"Balneolaeota"	"Balneolia"	"Balneolales"	"Balneolaceae"	"Gracilimonas"	"NA"	"kai__0649462"
"kai__1082930"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Pelagibacterium"	"NA"	"kai__1082930"
"kai__1573806"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	"Mariniphaga"	"NA"	"kai__1573806"
"kai__1643951"	"Thermotogae"	"Thermotogae"	"Thermotogales"	"Thermotogaceae"	"Pseudothermotoga"	"NA"	"kai__1643951"
"kai__0001041"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"Erythrobacter"	"NA"	"kai__0001041"
"kai__0002717"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Cardiobacteriaceae"	"Cardiobacterium"	"NA"	"kai__0002717"
"kai__0029298"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Streptosporangiaceae"	"Planobispora"	"NA"	"kai__0029298"
"kai__0034008"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodovulum"	"NA"	"kai__0034008"
"kai__0046352"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agrococcus"	"NA"	"kai__0046352"
"kai__0048463"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Prosthecobacter"	"NA"	"kai__0048463"
"kai__0053318"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfocapsa"	"NA"	"kai__0053318"
"kai__0075984"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Mannheimia"	"NA"	"kai__0075984"
"kai__0081461"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Thermanaerovibrio"	"NA"	"kai__0081461"
"kai__0122277"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pectobacteriaceae"	"Pectobacterium"	"NA"	"kai__0122277"
"kai__0153265"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aequorivita"	"NA"	"kai__0153265"
"kai__0171868"	"Aquificae"	"Aquificae"	"Desulfurobacteriales"	"Desulfurobacteriaceae"	"Thermovibrio"	"NA"	"kai__0171868"
"kai__0177399"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinilabiliaceae"	"Anaerophaga"	"NA"	"kai__0177399"
"kai__0182623"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Smithella"	"NA"	"kai__0182623"
"kai__0236052"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Propionicimonas"	"NA"	"kai__0236052"
"kai__0236756"	"Planctomycetes"	"Planctomycetia"	"Candidatus Brocadiales"	"Candidatus Brocadiaceae"	"Candidatus Scalindua"	"NA"	"kai__0236756"
"kai__0299566"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Hymenobacteraceae"	"Adhaeribacter"	"NA"	"kai__0299566"
"kai__0305899"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Endozoicomonadaceae"	"Endozoicomonas"	"NA"	"kai__0305899"
"kai__0395331"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanoregulaceae"	"Methanoregula"	"NA"	"kai__0395331"
"kai__0471798"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Shimazuella"	"NA"	"kai__0471798"
"kai__0475961"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Longilinea"	"NA"	"kai__0475961"
"kai__0908623"	"Actinobacteria"	"Nitriliruptoria"	"Euzebyales"	"Euzebyaceae"	"Euzebya"	"NA"	"kai__0908623"
"kai__1616789"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Salinispira"	"NA"	"kai__1616789"
"kai__1686313"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Fenollaria"	"NA"	"kai__1686313"
"kai__1738642"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Pelagirhabdus"	"NA"	"kai__1738642"
"kai__1827195"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Caballeronia"	"NA"	"kai__1827195"
"kai__0000085"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Hyphomonadaceae"	"Hyphomonas"	"NA"	"kai__0000085"
"kai__0033886"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Rathayibacter"	"NA"	"kai__0033886"
"kai__0047670"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Lautropia"	"NA"	"kai__0047670"
"kai__0089092"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Ignavigranum"	"NA"	"kai__0089092"
"kai__0166953"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Kaistia"	"NA"	"kai__0166953"
"kai__0168934"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Thalassospira"	"NA"	"kai__0168934"
"kai__0319458"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Leadbetterella"	"NA"	"kai__0319458"
"kai__0358023"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Lutibacter"	"NA"	"kai__0358023"
"kai__0453229"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfarculales"	"Desulfarculaceae"	"Desulfarculus"	"NA"	"kai__0453229"
"kai__0497721"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfoluna"	"NA"	"kai__0497721"
"kai__0555078"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Fervidicola"	"NA"	"kai__0555078"
"kai__1170227"	"candidate division NC10"	"NA"	"NA"	"NA"	"Candidatus Methylomirabilis"	"NA"	"kai__1170227"
"kai__1249554"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Idiomarinaceae"	"Aliidiomarina"	"NA"	"kai__1249554"
"kai__1400134"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Streptohalobacillus"	"NA"	"kai__1400134"
"kai__1778601"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Apibacter"	"NA"	"kai__1778601"
"kai__1868323"	"Chlorobi"	"Chlorobia"	"Chlorobiales"	"Candidatus Thermochlorobacteriaceae"	"Candidatus Thermochlorobacter"	"NA"	"kai__1868323"
"kai__0000010"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Cellvibrionaceae"	"Cellvibrio"	"NA"	"kai__0000010"
"kai__0013275"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Cardiobacteriaceae"	"Suttonella"	"NA"	"kai__0013275"
"kai__0035836"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"	"Desulfacinum"	"NA"	"kai__0035836"
"kai__0045654"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfonema"	"NA"	"kai__0045654"
"kai__0058050"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Moritellaceae"	"Moritella"	"NA"	"kai__0058050"
"kai__0071151"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocalculaceae"	"Methanocalculus"	"NA"	"kai__0071151"
"kai__0074030"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseovarius"	"NA"	"kai__0074030"
"kai__0213485"	"Proteobacteria"	"Alphaproteobacteria"	"NA"	"NA"	"Micavibrio"	"NA"	"kai__0213485"
"kai__0230494"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Saccharospirillaceae"	"Reinekea"	"NA"	"kai__0230494"
