"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__1924110"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Massiliomicrobiota"	"NA"	"kai__1924110"
"kai__0033042"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus"	"NA"	"kai__0033042"
"kai__0102106"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	"NA"	"kai__0102106"
"kai__0000626"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Xenorhabdus"	"NA"	"kai__0000626"
"kai__0189330"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Dorea"	"NA"	"kai__0189330"
"kai__0045667"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Halobacillus"	"NA"	"kai__0045667"
"kai__1903506"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Drancourtella"	"NA"	"kai__1903506"
"kai__1082702"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pectobacteriaceae"	"Lonsdalea"	"NA"	"kai__1082702"
"kai__0001375"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"	"NA"	"kai__0001375"
"kai__0150247"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Anoxybacillus"	"NA"	"kai__0150247"
"kai__0000970"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	"NA"	"kai__0000970"
"kai__0032067"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"	"NA"	"kai__0032067"
"kai__0052784"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Anaerofilum"	"NA"	"kai__0052784"
"kai__0068287"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Mesorhizobium"	"NA"	"kai__0068287"
"kai__0084406"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Virgibacillus"	"NA"	"kai__0084406"
"kai__0244127"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Anaerotruncus"	"NA"	"kai__0244127"
"kai__0000157"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	"NA"	"kai__0000157"
"kai__0051668"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Tetragenococcus"	"NA"	"kai__0051668"
"kai__0574697"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Odoribacteraceae"	"Butyricimonas"	"NA"	"kai__0574697"
"kai__0644652"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Gordonibacter"	"NA"	"kai__0644652"
"kai__1940255"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Fournierella"	"NA"	"kai__1940255"
"kai__2039240"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerotignum"	"NA"	"kai__2039240"
"kai__0002013"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Nocardiopsaceae"	"Nocardiopsis"	"NA"	"kai__0002013"
"kai__0577310"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Parasutterella"	"NA"	"kai__0577310"
"kai__0099906"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Alkalibacterium"	"NA"	"kai__0099906"
"kai__0013075"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Globicatella"	"NA"	"kai__0013075"
"kai__0029521"	"Spirochaetes"	"Spirochaetia"	"Brachyspirales"	"Brachyspiraceae"	"Brachyspira"	"NA"	"kai__0029521"
"kai__0001372"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Planococcus"	"NA"	"kai__0001372"
"kai__0670516"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacteroides"	"NA"	"kai__0670516"
"kai__0028236"	"Thermotogae"	"Thermotogae"	"Petrotogales"	"Petrotogaceae"	"Petrotoga"	"NA"	"kai__0028236"
"kai__2057233"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Absiella"	"NA"	"kai__2057233"
"kai__0165779"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"	"NA"	"kai__0165779"
"kai__0046205"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Pseudobutyrivibrio"	"NA"	"kai__0046205"
"kai__0066831"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Facklamia"	"NA"	"kai__0066831"
"kai__1906945"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Parageobacillus"	"NA"	"kai__1906945"
"kai__0002053"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Gordoniaceae"	"Gordonia"	"NA"	"kai__0002053"
"kai__0029574"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Taylorella"	"NA"	"kai__0029574"
"kai__1470540"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Jeotgalibaca"	"NA"	"kai__1470540"
"kai__0002077"	"Firmicutes"	"Bacilli"	"Bacillales"	"Sporolactobacillaceae"	"Sporolactobacillus"	"NA"	"kai__0002077"
"kai__0052225"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Mitsuokella"	"NA"	"kai__0052225"
"kai__0240233"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Aeriscardovia"	"NA"	"kai__0240233"
"kai__0033882"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	"NA"	"kai__0033882"
"kai__0083660"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfonispora"	"NA"	"kai__0083660"
"kai__0665568"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Paraoerskovia"	"NA"	"kai__0665568"
"kai__0000482"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	"NA"	"kai__0000482"
"kai__0001763"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	"NA"	"kai__0001763"
"kai__0001873"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Micromonospora"	"NA"	"kai__0001873"
"kai__0162291"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Planomicrobium"	"NA"	"kai__0162291"
