"D"	"P"	"C"	"O"	"F"	"G"	"S"	"k2_id"
"k2_0630129"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium_kashiwanohense"	630129
"k2_0649756"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Anaerostipes"	"s__Anaerostipes_hadrus"	649756
"k2_0712991"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"unkn."	"s__Lachnospiraceae_bacterium_oral_taxon_500"	712991
"k2_0756892"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Acinetobacter"	"s__Acinetobacter_indicus"	756892
"k2_1197717"	"k__Bacteria"	"p__Synergistetes"	"c__Synergistia"	"o__Synergistales"	"f__Synergistaceae"	"g__Cloacibacillus"	"s__Cloacibacillus_porcorum"	1197717
"k2_1297617"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"unkn."	"g__Intestinimonas"	"s__Intestinimonas_butyriciproducens"	1297617
"k2_1324352"	"k__Bacteria"	"p__Bacteroidetes"	"c__Flavobacteriia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Chryseobacterium"	"s__Chryseobacterium_gallinarum"	1324352
"k2_1335613"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Eggerthellales"	"f__Eggerthellaceae"	"g__Gordonibacter"	"s__Gordonibacter_urolithinfaciens"	1335613
"k2_1511894"	"k__Viruses"	"unkn."	"unkn."	"unkn."	"f__Parvoviridae"	"g__Dependoparvovirus"	"s__Avian_dependoparvovirus_1"	1511894
"k2_1712675"	"k__Bacteria"	"p__Firmicutes"	"c__Erysipelotrichia"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Turicibacter"	"s__Turicibacter_sp._H121"	1712675
"k2_1796613"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_caecimuris"	1796613
"k2_1805478"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Olsenella"	"s__Olsenella_sp._Marseille-P2300"	1805478
"k2_1805714"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Christensenellaceae"	"g__Christensenella"	"s__Christensenella_massiliensis"	1805714
"k2_1834196"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Lachnoclostridium"	"s__Lachnoclostridium_sp._YL32"	1834196
"k2_1834198"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Ruminococcaceae"	"g__Ruminiclostridium"	"s__Ruminiclostridium_sp._KB18"	1834198
"k2_1834207"	"k__Bacteria"	"p__Firmicutes"	"c__Erysipelotrichia"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"unkn."	"s__Erysipelotrichaceae_bacterium_I46"	1834207
"k2_1852373"	"k__Bacteria"	"p__Firmicutes"	"c__Tissierellia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__Murdochiella"	"s__Murdochiella_vaginalis"	1852373
"k2_1871021"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Lachnoclostridium"	"s__Lachnoclostridium_phocaeense"	1871021
"k2_1903686"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Carnobacteriaceae"	"g__Jeotgalibaca"	"s__Jeotgalibaca_sp._PTS2502"	1903686
"k2_1912897"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Blautia"	"s__Blautia_sp._N6H1-15"	1912897
"k2_2086584"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Mordavella"	"s__Mordavella_sp._Marseille-P3756"	2086584
"k2_2094242"	"k__Bacteria"	"p__Lentisphaerae"	"c__Lentisphaeria"	"o__Victivallales"	"unkn."	"unkn."	"s__Victivallales_bacterium_CCUG_44730"	2094242
