k__Archaea	p__Candidatus_Bathyarchaeota	s__Candidatus_Bathyarchaeota_archaeon
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium_katesii
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium_mukohataei
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium_zhouii
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus_tiamatea
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus_utahensis
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_persicus
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_regularis
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_sp._F13-25
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_sp._IM1011
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex_carlsbadense
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex_sp._YPL4
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas_moolapensis
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas_pharaonis
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas_sp._CBA1133
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas_sp._CBA1134
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	s__Haloarculaceae_archaeon_HArcel1
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_cibarius
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_litoreus
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_paucihalophilus
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_sp._R4
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_sp._W1
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halalkalicoccus	s__Halalkalicoccus_jeotgali
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halalkalicoccus	s__Halalkalicoccus_paucihalophilus
k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halalkalicoccus	s__Halalkalicoccus_sp._GSM28
