"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__0195950"	0	0	0	0	0	0	0	0	708	13	0	0
"kai__0258514"	0	0	0	0	0	0	0	0	678	0	0	0
"kai__0390805"	0	0	0	0	0	0	0	0	665	0	0	0
"kai__1769710"	0	0	0	0	0	0	0	0	665	0	0	0
"kai__1470353"	0	0	0	0	0	0	0	0	659	0	0	0
"kai__1348911"	0	0	0	0	0	0	0	0	650	37	15	0
"kai__0123375"	0	0	0	0	0	0	0	0	642	0	0	0
"kai__1892380"	0	0	0	0	0	0	0	0	642	0	0	0
"kai__0033951"	0	0	0	0	0	0	0	0	616	12	0	0
"kai__1738645"	0	0	0	0	0	0	0	0	597	0	0	0
"kai__0508459"	0	0	0	0	0	0	0	0	581	0	0	0
"kai__0036853"	0	0	0	0	0	0	0	0	569	0	0	0
"kai__1926556"	0	0	0	0	0	0	0	0	546	0	0	0
"kai__1348611"	0	0	0	0	0	0	0	0	542	0	0	0
"kai__0001562"	0	0	0	0	0	0	0	0	518	13	0	0
"kai__0651554"	0	0	0	0	0	0	0	0	503	0	0	0
"kai__0044258"	0	0	0	0	0	0	0	0	489	0	0	0
"kai__0043996"	0	0	0	0	0	0	0	0	482	11	0	0
"kai__1981028"	0	0	0	0	0	0	0	0	479	0	0	0
"kai__0001257"	0	0	0	0	0	0	0	0	474	0	0	0
"kai__2304693"	0	0	0	0	0	0	0	0	471	0	0	0
"kai__0253238"	0	0	0	0	0	0	0	0	470	0	0	0
"kai__0002034"	0	0	0	0	0	0	0	0	469	18	0	0
"kai__0399320"	0	0	0	0	0	0	0	0	449	0	0	0
"kai__1407607"	0	0	0	0	0	0	0	0	444	0	0	0
"kai__0638847"	0	0	0	0	0	0	0	0	443	0	0	0
"kai__0177971"	0	0	0	0	0	0	0	0	439	0	0	0
"kai__0140625"	0	0	0	0	0	0	0	0	436	0	0	0
"kai__0329857"	0	0	0	0	0	0	0	0	430	0	0	0
"kai__0002375"	0	0	0	0	0	0	0	0	424	0	0	0
"kai__1573535"	0	0	0	0	0	0	0	0	422	0	0	0
"kai__2060094"	0	0	0	0	0	0	0	0	416	0	0	0
"kai__2126002"	0	0	0	0	0	0	0	0	407	0	0	0
"kai__0031980"	0	0	0	0	0	0	0	0	401	0	0	0
"kai__0039948"	0	0	0	0	0	0	0	0	399	0	0	0
"kai__0082373"	0	0	0	0	0	0	0	0	394	0	0	0
"kai__2005386"	0	0	0	0	0	0	0	0	393	0	0	0
"kai__1780122"	0	0	0	0	0	0	0	0	389	0	0	0
"kai__1486725"	0	0	0	0	0	0	0	0	380	0	0	0
"kai__2304691"	0	0	0	0	0	0	0	0	376	0	0	0
"kai__0040544"	0	0	0	0	0	0	0	0	358	0	0	0
"kai__0519427"	0	0	0	0	0	0	0	0	352	0	0	0
"kai__0055080"	0	0	0	0	0	0	0	0	350	0	0	0
"kai__0115543"	0	0	0	0	0	0	0	0	350	0	0	0
"kai__1923867"	0	0	0	0	0	0	0	0	346	0	0	0
"kai__1918540"	0	0	0	0	0	0	0	0	345	0	0	0
"kai__0114627"	0	0	0	0	0	0	0	0	341	0	0	0
"kai__0239934"	0	0	0	0	0	0	0	0	337	0	0	0
"kai__1408818"	0	0	0	0	0	0	0	0	331	0	0	0
"kai__0028895"	0	0	0	0	0	0	0	0	329	0	0	0
"kai__1213720"	0	0	0	0	0	0	0	0	320	0	0	0
"kai__2304687"	0	0	0	0	0	0	0	0	319	0	0	0
"kai__0044000"	0	0	0	0	0	0	0	0	308	0	0	0
"kai__1973274"	0	0	0	0	0	0	0	0	307	0	0	0
"kai__2060871"	0	0	0	0	0	0	0	0	307	0	0	0
"kai__0715222"	0	0	0	0	0	0	0	0	305	0	0	0
"kai__0001647"	0	0	0	0	0	0	0	0	302	0	0	0
"kai__0056112"	0	0	0	0	0	0	0	0	302	0	0	0
"kai__0109326"	0	0	0	0	0	0	0	0	300	0	0	0
"kai__1472649"	0	0	0	0	0	0	0	0	297	0	0	0
"kai__0061434"	0	0	0	0	0	0	0	0	296	0	0	0
"kai__0079328"	0	0	0	0	0	0	0	0	294	0	0	0
"kai__0112902"	0	0	0	0	0	0	0	0	294	0	0	0
"kai__1766253"	0	0	0	0	0	0	0	0	294	0	0	0
"kai__1935192"	0	0	0	0	0	0	0	0	290	0	0	0
"kai__0029330"	0	0	0	0	0	0	0	0	288	0	0	0
"kai__1273095"	0	0	0	0	0	0	0	0	281	0	0	0
"kai__0002330"	0	0	0	0	0	0	0	0	280	0	0	0
"kai__0113286"	0	0	0	0	0	0	0	0	280	0	0	0
"kai__1155385"	0	0	0	0	0	0	0	0	278	0	0	0
"kai__0174708"	0	0	0	0	0	0	0	0	274	0	0	0
"kai__1279388"	0	0	0	0	0	0	0	0	270	14	0	0
"kai__0041273"	0	0	0	0	0	0	0	0	263	0	0	0
"kai__0270497"	0	0	0	0	0	0	0	0	258	0	0	0
"kai__1922299"	0	0	0	0	0	0	0	0	258	0	0	0
"kai__0165812"	0	0	0	0	0	0	0	0	252	0	0	0
"kai__0252965"	0	0	0	0	0	0	0	0	251	0	0	0
"kai__0040840"	0	0	0	0	0	0	0	0	250	0	0	0
"kai__1929083"	0	0	0	0	0	0	0	0	248	0	0	0
"kai__0055079"	0	0	0	0	0	0	0	0	246	0	0	0
"kai__1185408"	0	0	0	0	0	0	0	0	245	0	0	0
"kai__1729679"	0	0	0	0	0	0	0	0	241	0	0	0
"kai__0086331"	0	0	0	0	0	0	0	0	240	0	0	0
"kai__1481960"	0	0	0	0	0	0	0	0	239	0	0	0
"kai__0862261"	0	0	0	0	0	0	0	0	238	0	0	0
"kai__2039302"	0	0	0	0	0	0	0	0	229	0	0	0
"kai__0667112"	0	0	0	0	0	0	0	0	227	0	0	0
"kai__1161127"	0	0	0	0	0	0	0	0	225	0	0	0
"kai__1434006"	0	0	0	0	0	0	0	0	225	0	0	0
"kai__0031983"	0	0	0	0	0	0	0	0	223	0	0	0
"kai__0000862"	0	0	0	0	0	0	0	0	221	0	0	0
"kai__0002172"	0	0	0	0	0	0	0	0	218	79	17	0
"kai__0059732"	0	0	0	0	0	0	0	0	218	15	0	0
"kai__0674963"	0	0	0	0	0	0	0	0	218	0	0	0
"kai__0190972"	0	0	0	0	0	0	0	0	216	0	0	0
"kai__1849828"	0	0	0	0	0	0	0	0	214	0	0	0
"kai__0156973"	0	0	0	0	0	0	0	0	210	16	10	0
"kai__0184869"	0	0	0	0	0	0	0	0	210	0	0	0
"kai__0001754"	0	0	0	0	0	0	0	0	205	0	0	0
"kai__0084567"	0	0	0	0	0	0	0	0	202	32	0	0
"kai__1937664"	0	0	0	0	0	0	0	0	202	0	0	0
"kai__0002753"	0	0	0	0	0	0	0	0	200	0	0	0
"kai__0044261"	0	0	0	0	0	0	0	0	200	0	0	0
"kai__2126548"	0	0	0	0	0	0	0	0	200	0	0	0
"kai__1937008"	0	0	0	0	0	0	0	0	193	0	0	0
"kai__0365348"	0	0	0	0	0	0	0	0	192	0	0	0
"kai__0044260"	0	0	0	0	0	0	0	0	189	0	0	0
"kai__2316020"	0	0	0	0	0	0	0	0	188	0	0	0
"kai__1926663"	0	0	0	0	0	0	0	0	186	0	0	0
"kai__1505652"	0	0	0	0	0	0	0	0	181	0	0	0
"kai__0013687"	0	0	0	0	0	0	0	0	180	16	0	0
"kai__0419014"	0	0	0	0	0	0	0	0	178	0	0	0
"kai__0000890"	0	0	0	0	0	0	0	0	175	0	0	0
"kai__0084162"	0	0	0	0	0	0	0	0	175	0	0	0
"kai__0696745"	0	0	0	0	0	0	0	0	175	0	0	0
"kai__1279384"	0	0	0	0	0	0	0	0	175	0	0	0
"kai__0028231"	0	0	0	0	0	0	0	0	174	0	0	0
"kai__0076008"	0	0	0	0	0	0	0	0	173	0	0	0
"kai__0084034"	0	0	0	0	0	0	0	0	173	0	0	0
"kai__0218204"	0	0	0	0	0	0	0	0	173	0	0	0
"kai__0499228"	0	0	0	0	0	0	0	0	172	0	0	0
"kai__1427376"	0	0	0	0	0	0	0	0	171	0	0	0
"kai__0150022"	0	0	0	0	0	0	0	0	170	0	0	0
"kai__2005355"	0	0	0	0	0	0	0	0	170	0	0	0
"kai__0214904"	0	0	0	0	0	0	0	0	169	0	0	0
"kai__1505660"	0	0	0	0	0	0	0	0	169	0	0	0
"kai__0415014"	0	0	0	0	0	0	0	0	167	0	0	0
"kai__1611681"	0	0	0	0	0	0	0	0	167	0	0	0
"kai__0001298"	0	0	0	0	0	0	0	0	165	180	0	0
"kai__0043994"	0	0	0	0	0	0	0	0	165	0	0	0
"kai__1913599"	0	0	0	0	0	0	0	0	165	0	0	0
"kai__0648799"	0	0	0	0	0	0	0	0	164	0	0	0
"kai__0178898"	0	0	0	0	0	0	0	0	163	0	0	0
"kai__2282740"	0	0	0	0	0	0	0	0	163	0	0	0
"kai__1689250"	0	0	0	0	0	0	0	0	161	0	0	0
"kai__1302778"	0	0	0	0	0	0	0	0	160	0	0	0
"kai__1884930"	0	0	0	0	0	0	0	0	158	0	0	0
"kai__0001569"	0	0	0	0	0	0	0	0	156	0	0	0
"kai__1912503"	0	0	0	0	0	0	0	0	156	0	0	0
"kai__2082587"	0	0	0	0	0	0	0	0	151	0	0	0
"kai__1505657"	0	0	0	0	0	0	0	0	150	0	0	0
"kai__1769729"	0	0	0	0	0	0	0	0	150	0	0	0
"kai__0002316"	0	0	0	0	0	0	0	0	148	0	0	0
"kai__0704093"	0	0	0	0	0	0	0	0	144	0	0	0
"kai__0118966"	0	0	0	0	0	0	0	0	142	0	0	0
"kai__1929297"	0	0	0	0	0	0	0	0	141	0	0	0
"kai__1505664"	0	0	0	0	0	0	0	0	140	0	0	0
"kai__0181069"	0	0	0	0	0	0	0	0	139	0	0	0
"kai__0089958"	0	0	0	0	0	0	0	0	138	0	0	0
"kai__0580024"	0	0	0	0	0	0	0	0	138	0	0	0
