"_N10_Nuria_S301_L001"	"_N11_Nuria_S302_L001"	"_N12_Nuria_S303_L001"	"_N1_Nuria_S292_L001"	"_N2_Nuria_S293_L001"	"_N3_Nuria_S294_L001"	"_N4_Nuria_S295_L001"	"_N5_Nuria_S296_L001"	"_N6_Nuria_S297_L001"	"_N7_Nuria_S298_L001"	"_N8_Nuria_S299_L001"	"_N9_Nuria_S300_L001"
"kai__1080709"	0	0	0	0	0	0	0	0	0.049072	0.000572	0.017866	0
"kai__1935176"	0	0	0	0	0	0	0	0	0.046594	0.00044	0	0
"kai__0002086"	0	0	0	0	0	0	0	0	0.037277	0	0	0
"kai__1392389"	0	0	0	0	0	0	0	0	0.036023	0.00044	0	0
"kai__0588605"	0	0	0	0	0	0	0	0	0.032258	0.001541	0	0
"kai__1573534"	0	0	0	0	0	0	0	0	0.031485	0.001541	0	0
"kai__2005359"	0	0	0	0	0	0	0	0	0.028003	0.001101	0	0
"kai__0420345"	0	0	0	0	0	0	0	0	0.027041	0.00044	0	0
"kai__0990721"	0	0	0	0	0	0	0	0	0.026288	0.00066	0	0
"kai__1763508"	0	0	0	0	0	0	0	0	0.024489	0.000925	0	0
"kai__0084111"	0	0	0	0	0	0	0	0	0.023151	0.001497	0	0
"kai__0000522"	0	0	0	0	0	0	0	0	0.022074	0	0	0
"kai__2172004"	0	0	0	0	0	0	0	0	0.021258	0.000484	0	0
"kai__2126006"	0	0	0	0	0	0	0	0	0.021195	0.000528	0	0
"kai__1573536"	0	0	0	0	0	0	0	0	0.020652	0	0	0
"kai__0241189"	0	0	0	0	0	0	0	0	0.019449	0.000925	0	0
"kai__1918385"	0	0	0	0	0	0	0	0	0.018947	0	0	0
"kai__1843210"	0	0	0	0	0	0	0	0	0.01878	0.000528	0	0
"kai__1987010"	0	0	0	0	0	0	0	0	0.018749	0.00066	0	0
"kai__0000906"	0	0	0	0	0	0	0	0	0.018163	0.00066	0	0
"kai__0000872"	0	0	0	0	0	0	0	0	0.01787	0	0	0
"kai__0061170"	0	0	0	0	0	0	0	0	0.017243	0	0	0
"kai__0000848"	0	0	0	0	0	0	0	0	0.016657	0.000572	0	0
"kai__1427378"	0	0	0	0	0	0	0	0	0.016427	0.000616	0	0
"kai__1506577"	0	0	0	0	0	0	0	0	0.016176	0.00273	0.01191	0
"kai__1508657"	0	0	0	0	0	0	0	0	0.015664	0.00066	0	0
"kai__1924081"	0	0	0	0	0	0	0	0	0.015099	0	0	0
"kai__1929305"	0	0	0	0	0	0	0	0	0.014838	0.00066	0	0
"kai__1663717"	0	0	0	0	0	0	0	0	0.012935	0.000572	0	0
"kai__0084108"	0	0	0	0	0	0	0	0	0.012851	0	0	0
"kai__1472762"	0	0	0	0	0	0	0	0	0.01259	0	0	0
"kai__0002147"	0	0	0	0	0	0	0	0	0.012015	0.000572	0	0
"kai__2304692"	0	0	0	0	0	0	0	0	0.011983	0	0	0
"kai__0044748"	0	0	0	0	0	0	0	0	0.011931	0	0	0
"kai__1929045"	0	0	0	0	0	0	0	0	0.011879	0	0	0
"kai__0035829"	0	0	0	0	0	0	0	0	0.011565	0	0	0
"kai__0079206"	0	0	0	0	0	0	0	0	0.011377	0	0	0
